config,prf_feedback_docs,prf_expansion_terms,ap,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10,avg_latency_ms,p95_latency_ms
prf_docs2_terms5,2,5,0.5453594817880532,0.89,0.3884074259074259,0.8403190065685324,0.69,0.575207708957709,0.7196567769013528,19.954004930332303,53.90379996970296
prf_docs3_terms5,3,5,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,20.813425071537495,54.66679995879531
prf_docs5_terms5,5,5,0.549082425510997,0.9,0.39295288045288046,0.8553613264908795,0.69,0.575207708957709,0.7258540160628614,24.586884980089962,54.24709990620613
prf_docs3_terms8,3,8,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,20.44923498760909,52.72309994325042
