config,prf_feedback_docs,prf_expansion_terms,ap,p@5,r@5,ndcg@5,p@10,r@10,ndcg@10,avg_latency_ms,p95_latency_ms
baseline,3,5,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,9.108395036309958,26.690799742937088
expansion,3,5,0.5922371874157588,0.95,0.4108100233100233,0.9072770168322132,0.74,0.6131081418581419,0.7708414285288856,11.660175025463104,28.518300037831068
prf,3,5,0.5602133778919494,0.9,0.39295288045288046,0.8572770168322131,0.7,0.584298618048618,0.7344707211665282,21.22390998993069,55.53939985111356
full,3,5,0.5922371874157588,0.95,0.4108100233100233,0.9072770168322132,0.74,0.6131081418581419,0.7708414285288856,25.427914899773896,57.346700225025415
